"cstm_cd","eigyosyo_cd","sales_date"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-05"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
"02000026","00000002","2023-09-06"
